"Entry","Status","Gene.names","Organism","Gene.ontology..biological.process.","Gene.ontology..cellular.component.","Gene.ontology..molecular.function.","Gene.ontology.IDs"
"W5K828","unreviewed","gng4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","G protein-coupled receptor signaling pathway [GO:0007186]","heterotrimeric G-protein complex [GO:0005834]","G-protein beta-subunit binding [GO:0031681]","GO:0005834; GO:0007186; GO:0031681"
"W5K043","unreviewed","snta1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cell junction [GO:0030054]; cytoskeleton [GO:0005856]; membrane [GO:0016020]","structural molecule activity [GO:0005198]","GO:0005198; GO:0005856; GO:0016020; GO:0030054"
"A0A3B1IF51","unreviewed","ncstn","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein processing [GO:0016485]","integral component of membrane [GO:0016021]","","GO:0016021; GO:0016485"
"W5LSL9","unreviewed","smim18","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1IGN8","unreviewed","gpr21","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0016021"
"W5KZ65","unreviewed","med27","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","retinal cone cell development [GO:0046549]","mediator complex [GO:0016592]","","GO:0016592; GO:0046549"
"A0A3B1JUE8","unreviewed","lsm3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process [GO:0000956]","spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]","RNA binding [GO:0003723]","GO:0000398; GO:0000956; GO:0003723; GO:0005681; GO:0005688; GO:0046540"
"W5K3D9","unreviewed","gpr68","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0016021"
"W5LTK5","unreviewed","c6orf120","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]","","GO:0005576"
"A0A3B1IKW4","unreviewed","akr1d1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","bile acid biosynthetic process [GO:0006699]","","delta4-3-oxosteroid 5beta-reductase activity [GO:0047787]; D-threo-aldose 1-dehydrogenase activity [GO:0047834]","GO:0006699; GO:0047787; GO:0047834"
"W5LJM6","unreviewed","fam13c","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5L1S7","unreviewed","hdac4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","histone deacetylase complex [GO:0000118]","metal ion binding [GO:0046872]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]","GO:0000118; GO:0032041; GO:0046872"
"A0A3B1JJF3","unreviewed","tent4a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","RNA polyadenylation [GO:0043631]","","polynucleotide adenylyltransferase activity [GO:0004652]","GO:0004652; GO:0043631"
"A0A3B1KCR4","unreviewed","c4orf47","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]","","GO:0005737; GO:0005815"
"W5KZK5","unreviewed","ezh1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","histone H3-K27 methylation [GO:0070734]","nucleus [GO:0005634]","histone-lysine N-methyltransferase activity [GO:0018024]","GO:0005634; GO:0018024; GO:0070734"
"W5L5Z4","unreviewed","pcp4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","calmodulin binding [GO:0005516]","GO:0005516"
"A0A3B1K1U7","unreviewed","ryr2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; sarcoplasmic reticulum membrane [GO:0033017]","calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; ryanodine-sensitive calcium-release channel activity [GO:0005219]","GO:0005219; GO:0005509; GO:0005516; GO:0016021; GO:0033017"
"A0A3B1IJY8","unreviewed","nr3c1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","chromatin organization [GO:0006325]","mitochondrion [GO:0005739]; nucleus [GO:0005634]; spindle [GO:0005819]","DNA-binding transcription factor activity [GO:0003700]; glucocorticoid receptor activity [GO:0004883]; sequence-specific DNA binding [GO:0043565]; steroid binding [GO:0005496]; zinc ion binding [GO:0008270]","GO:0003700; GO:0004883; GO:0005496; GO:0005634; GO:0005739; GO:0005819; GO:0006325; GO:0008270; GO:0043565"
"W5KDB8","unreviewed","lsm1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","mRNA processing [GO:0006397]; nuclear-transcribed mRNA catabolic process [GO:0000956]","P-body [GO:0000932]","RNA cap binding [GO:0000339]","GO:0000339; GO:0000932; GO:0000956; GO:0006397"
"A0A3B1JWA7","unreviewed","mtap","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","L-methionine salvage from methylthioadenosine [GO:0019509]; purine ribonucleoside salvage [GO:0006166]","cytoplasm [GO:0005737]; nucleus [GO:0005634]","S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]","GO:0005634; GO:0005737; GO:0006166; GO:0017061; GO:0019509"
"W5JXT8","unreviewed","palmd","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of cell shape [GO:0008360]","membrane [GO:0016020]","","GO:0008360; GO:0016020"
"W5KNC8","unreviewed","kcnj15","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of ion transmembrane transport [GO:0034765]","integral component of membrane [GO:0016021]","inward rectifier potassium channel activity [GO:0005242]; scavenger receptor activity [GO:0005044]","GO:0005044; GO:0005242; GO:0016021; GO:0034765"
"A0A3B1JQF9","unreviewed","qtrt1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","tRNA-guanine transglycosylation [GO:0101030]","mitochondrial outer membrane [GO:0005741]","metal ion binding [GO:0046872]; queuine tRNA-ribosyltransferase activity [GO:0008479]","GO:0005741; GO:0008479; GO:0046872; GO:0101030"
"A0A3B1JGV3","unreviewed","lin28a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","gene silencing by RNA [GO:0031047]","nucleolus [GO:0005730]","nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]","GO:0003676; GO:0005730; GO:0008270; GO:0031047"
"A0A3B1KIR2","unreviewed","ak6","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","adenylate kinase activity [GO:0004017]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]","GO:0004017; GO:0005524; GO:0016887"
"A0A3B1JCR0","unreviewed","filip1l","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5KPB5","unreviewed","spr","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","tetrahydrobiopterin biosynthetic process [GO:0006729]","","sepiapterin reductase activity [GO:0004757]","GO:0004757; GO:0006729"
"W5LUI1","unreviewed","rai2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5JZV7","unreviewed","hand1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","protein dimerization activity [GO:0046983]","GO:0046983"
"A0A3B1K0E5","unreviewed","mfap3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","","GO:0005886; GO:0016021"
"W5LTK9","unreviewed","dsel","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","isomerase activity [GO:0016853]; sulfotransferase activity [GO:0008146]","GO:0008146; GO:0016021; GO:0016853"
"A0A3B1JVP4","unreviewed","dad1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein glycosylation [GO:0006486]","integral component of membrane [GO:0016021]; oligosaccharyltransferase complex [GO:0008250]","","GO:0006486; GO:0008250; GO:0016021"
"A0A3B1J7C4","unreviewed","itln1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JTG2","unreviewed","cnn3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","actomyosin structure organization [GO:0031032]","","actin binding [GO:0003779]; calmodulin binding [GO:0005516]","GO:0003779; GO:0005516; GO:0031032"
"A0A3B1IT78","unreviewed","ptprc","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","protein tyrosine phosphatase activity [GO:0004725]","GO:0004725; GO:0016021"
"W5LUF4","unreviewed","kcne2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","voltage-gated potassium channel activity [GO:0005249]","GO:0005249; GO:0016021"
"A0A3B1K157","unreviewed","slc2a9","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","transmembrane transporter activity [GO:0022857]","GO:0016021; GO:0022857"
"A0A3B1JJ51","unreviewed","ttyh2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","chloride transport [GO:0006821]","chloride channel complex [GO:0034707]","chloride channel activity [GO:0005254]","GO:0005254; GO:0006821; GO:0034707"
"W5LIL8","unreviewed","lrrtm4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5JY28","unreviewed","gstm3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","glutathione metabolic process [GO:0006749]","","glutathione transferase activity [GO:0004364]","GO:0004364; GO:0006749"
"W5KN97","unreviewed","nhlrc3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5K2R0","unreviewed","zadh2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","13-prostaglandin reductase activity [GO:0036132]; 15-oxoprostaglandin 13-oxidase activity [GO:0047522]; zinc ion binding [GO:0008270]","GO:0008270; GO:0036132; GO:0047522"
"A0A3B1IRU5","unreviewed","slc5a7","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","transmembrane transporter activity [GO:0022857]","GO:0016021; GO:0022857"
"A0A3B1IUS9","unreviewed","nt5c3b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","nucleotide metabolic process [GO:0009117]","cytoplasm [GO:0005737]","5'-nucleotidase activity [GO:0008253]; magnesium ion binding [GO:0000287]; nucleotide binding [GO:0000166]","GO:0000166; GO:0000287; GO:0005737; GO:0008253; GO:0009117"
"A0A3B1KE38","unreviewed","fbxo48","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1ID23","unreviewed","qrsl1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; mitochondrial translation [GO:0032543]","glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]","ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; hydrolase activity [GO:0016787]","GO:0005524; GO:0005739; GO:0016787; GO:0030956; GO:0032543; GO:0050567; GO:0070681"
"A0A3B1IDZ2","unreviewed","fam72b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LK46","unreviewed","osgep","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","tRNA threonylcarbamoyladenosine modification [GO:0002949]","cytoplasm [GO:0005737]; EKC/KEOPS complex [GO:0000408]; nucleus [GO:0005634]","metal ion binding [GO:0046872]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]","GO:0000408; GO:0002949; GO:0005634; GO:0005737; GO:0046872; GO:0061711"
"W5LU66","unreviewed","gpr87","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","negative regulation of adenylate cyclase activity [GO:0007194]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","G protein-coupled purinergic nucleotide receptor activity [GO:0045028]","GO:0005886; GO:0007194; GO:0016021; GO:0045028"
"W5LTB7","unreviewed","rxfp3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0016021"
"A0A3B1J119","unreviewed","c21orf91","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JDQ9","unreviewed","fam187a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cell junction [GO:0030054]; cytoskeleton [GO:0005856]; filopodium [GO:0030175]; lamellipodium [GO:0030027]","","GO:0005856; GO:0030027; GO:0030054; GO:0030175"
"A0A3B1K5X6","unreviewed","rasgrp1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","small GTPase mediated signal transduction [GO:0007264]","","calcium ion binding [GO:0005509]; guanyl-nucleotide exchange factor activity [GO:0005085]","GO:0005085; GO:0005509; GO:0007264"
"W5L2E2","unreviewed","tbx22","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]","GO:0003677; GO:0003700; GO:0005634"
"W5LBQ1","unreviewed","apba3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","amyloid-beta binding [GO:0001540]; enzyme inhibitor activity [GO:0004857]","GO:0001540; GO:0004857"
"W5KHN2","unreviewed","sipa1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","positive regulation of GTPase activity [GO:0043547]; regulation of small GTPase mediated signal transduction [GO:0051056]","","GTPase activator activity [GO:0005096]","GO:0005096; GO:0043547; GO:0051056"
"A0A3B1KK41","unreviewed","fbxl3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LSL7","unreviewed","adra2c","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","platelet activation [GO:0030168]; regulation of smooth muscle contraction [GO:0006940]; regulation of vasoconstriction [GO:0019229]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","alpha2-adrenergic receptor activity [GO:0004938]","GO:0004938; GO:0005886; GO:0006940; GO:0016021; GO:0019229; GO:0030168"
"W5LT99","unreviewed","fignl2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATPase activity [GO:0016887]; ATP binding [GO:0005524]","GO:0005524; GO:0016887"
"W5L751","unreviewed","tex2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","lipid transport [GO:0006869]","integral component of membrane [GO:0016021]","lipid binding [GO:0008289]","GO:0006869; GO:0008289; GO:0016021"
"A0A3B1J0Z0","unreviewed","plpp1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","phospholipid metabolic process [GO:0006644]","apical plasma membrane [GO:0016324]; caveola [GO:0005901]; integral component of membrane [GO:0016021]","diacylglycerol diphosphate phosphatase activity [GO:0000810]; phosphatidate phosphatase activity [GO:0008195]; sphingosine-1-phosphate phosphatase activity [GO:0042392]","GO:0000810; GO:0005901; GO:0006644; GO:0008195; GO:0016021; GO:0016324; GO:0042392"
"W5KLU5","unreviewed","ppp1ca","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell division [GO:0051301]; glycogen metabolic process [GO:0005977]","cleavage furrow [GO:0032154]; midbody [GO:0030496]; protein phosphatase type 1 complex [GO:0000164]","protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]","GO:0000164; GO:0005977; GO:0030496; GO:0032154; GO:0051301; GO:0106306; GO:0106307"
"W5L5U8","unreviewed","pnpla8","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","lipid metabolic process [GO:0006629]","","","GO:0006629"
"A0A3B1IU58","unreviewed","rbks","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","D-ribose catabolic process [GO:0019303]","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; metal ion binding [GO:0046872]; ribokinase activity [GO:0004747]","GO:0004747; GO:0005524; GO:0005634; GO:0005737; GO:0019303; GO:0046872"
"A0A3B1IEU4","unreviewed","tra2b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","RNA binding [GO:0003723]","GO:0003723"
"A0A3B1IN30","unreviewed","scara5","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cellular iron ion homeostasis [GO:0006879]; iron ion transmembrane transport [GO:0034755]","integral component of plasma membrane [GO:0005887]","ferritin receptor activity [GO:0070287]; scavenger receptor activity [GO:0005044]","GO:0005044; GO:0005887; GO:0006879; GO:0034755; GO:0070287"
"W5KI30","unreviewed","tut4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]","GO:0003676; GO:0008270"
"A0A3B1JII1","unreviewed","e2f3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription by RNA polymerase II [GO:0006357]","nucleus [GO:0005634]; transcription regulator complex [GO:0005667]","protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]","GO:0000978; GO:0005634; GO:0005667; GO:0006357; GO:0046983"
"A0A3B1JGQ1","unreviewed","vdac2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","mitochondrial outer membrane [GO:0005741]; pore complex [GO:0046930]","porin activity [GO:0015288]; voltage-gated anion channel activity [GO:0008308]","GO:0005741; GO:0008308; GO:0015288; GO:0046930"
"W5LS35","unreviewed","rnf223","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","metal ion binding [GO:0046872]","GO:0016021; GO:0046872"
"A0A3B1J4T0","unreviewed","arl16","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","GTP binding [GO:0005525]","GO:0005525"
"A0A3B1IUI4","unreviewed","plbd2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","lipid catabolic process [GO:0016042]","","phospholipase activity [GO:0004620]","GO:0004620; GO:0016042"
"A0A3B1JD37","unreviewed","tmem114","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1IV21","unreviewed","smim1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5LG74","unreviewed","cdh20","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","calcium ion binding [GO:0005509]","GO:0005509; GO:0005886; GO:0007156; GO:0016021"
"A0A3B1J780","unreviewed","tomm40l","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein import into mitochondrial matrix [GO:0030150]","mitochondrial outer membrane [GO:0005741]","protein transmembrane transporter activity [GO:0008320]","GO:0005741; GO:0008320; GO:0030150"
"W5KMF1","unreviewed","stk32b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]","GO:0004674; GO:0005524"
"W5LM48","unreviewed","klhl28","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1IK11","unreviewed","ptgr1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]","13-prostaglandin reductase activity [GO:0036132]; 15-oxoprostaglandin 13-oxidase activity [GO:0047522]; 2-alkenal reductase [NAD(P)+] activity [GO:0032440]; leukotriene B4 12-hydroxy dehydrogenase activity [GO:0097257]","GO:0005737; GO:0016021; GO:0032440; GO:0036132; GO:0047522; GO:0097257"
"A0A3B1IEU8","unreviewed","crh","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]","hormone activity [GO:0005179]","GO:0005179; GO:0005576"
"A0A3B1KBJ0","unreviewed","gpr62","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0016021"
"W5KYB0","unreviewed","prox1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription, DNA-templated [GO:0006355]","nucleus [GO:0005634]","DNA binding [GO:0003677]","GO:0003677; GO:0005634; GO:0006355"
"A0A3B1IH36","unreviewed","mettl18","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","methylation [GO:0032259]","","methyltransferase activity [GO:0008168]","GO:0008168; GO:0032259"
"W5LPB2","unreviewed","dna2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","DNA repair [GO:0006281]; DNA replication, Okazaki fragment processing [GO:0033567]","mitochondrion [GO:0005739]; nucleus [GO:0005634]","4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-flap endonuclease activity [GO:0017108]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; single-stranded DNA helicase activity [GO:0017116]","GO:0003677; GO:0005524; GO:0005634; GO:0005739; GO:0006281; GO:0017108; GO:0017116; GO:0033567; GO:0046872; GO:0051539"
"W5LPM7","unreviewed","samd12","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5K6C8","unreviewed","lrrc27","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JP61","unreviewed","nabp2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LNJ5","unreviewed","cald1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","muscle contraction [GO:0006936]","","actin binding [GO:0003779]; calmodulin binding [GO:0005516]; myosin binding [GO:0017022]","GO:0003779; GO:0005516; GO:0006936; GO:0017022"
"A0A3B1JKF2","unreviewed","pigg","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","GPI anchor biosynthetic process [GO:0006506]","endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]","mannose-ethanolamine phosphotransferase activity [GO:0051377]","GO:0005789; GO:0006506; GO:0016021; GO:0051377"
"A0A3B1KAA9","unreviewed","camkmt","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]; nucleus [GO:0005634]","calmodulin-lysine N-methyltransferase activity [GO:0018025]","GO:0005634; GO:0005737; GO:0018025"
"W5KYS2","unreviewed","timm22","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein insertion into mitochondrial inner membrane [GO:0045039]","integral component of membrane [GO:0016021]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]","protein transmembrane transporter activity [GO:0008320]","GO:0008320; GO:0016021; GO:0042721; GO:0045039"
"W5K087","unreviewed","c7orf25","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LJX3","unreviewed","rdh13","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","oxidoreductase activity [GO:0016491]","GO:0016491"
"W5KMI2","unreviewed","c6orf58","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]","","GO:0005576"
"W5LTX8","unreviewed","rab9a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","Rab protein signal transduction [GO:0032482]","phagocytic vesicle membrane [GO:0030670]","GTPase activity [GO:0003924]; GTP binding [GO:0005525]","GO:0003924; GO:0005525; GO:0030670; GO:0032482"
"A0A3B1K2E6","unreviewed","nptx1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1K9V1","unreviewed","twsg1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]","","GO:0005576"
"A0A3B1JL78","unreviewed","leprot","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1JU94","unreviewed","clns1a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell volume homeostasis [GO:0006884]; chloride transport [GO:0006821]; spliceosomal snRNP assembly [GO:0000387]","cytosol [GO:0005829]; methylosome [GO:0034709]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; plasma membrane [GO:0005886]","","GO:0000387; GO:0005634; GO:0005829; GO:0005886; GO:0006821; GO:0006884; GO:0034709; GO:0034715"
"W5L4X1","unreviewed","tanc2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5LTX4","unreviewed","insyn2a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1IY08","unreviewed","msx1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]","GO:0000981; GO:0003677; GO:0005634"
"A0A3B1IW24","unreviewed","tle3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription, DNA-templated [GO:0006355]","nucleus [GO:0005634]","","GO:0005634; GO:0006355"
"W5LTW9","unreviewed","fastkd5","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of mitochondrial mRNA stability [GO:0044528]","","","GO:0044528"
"A0A3B1K938","unreviewed","rundc1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LTV4","unreviewed","fbxo46","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intracellular signal transduction [GO:0035556]","","","GO:0035556"
"W5L9C2","unreviewed","tgif2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription, DNA-templated [GO:0006355]","nucleus [GO:0005634]","DNA binding [GO:0003677]","GO:0003677; GO:0005634; GO:0006355"
"A0A3B1JYK9","unreviewed","donson","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","multicellular organism development [GO:0007275]","nucleus [GO:0005634]","","GO:0005634; GO:0007275"
"W5KI69","unreviewed","ybx2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","nucleic acid binding [GO:0003676]","GO:0003676"
"A0A3B1KFR1","unreviewed","etv6","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]","GO:0003700; GO:0005634; GO:0043565"
