"","Namespace","GO_ID","GO_Term"
"44356","Biological Process","GO:1905281","positive regulation of retrograde transport, endosome to Golgi"
"44357","Biological Process","GO:1905282","regulation of epidermal growth factor receptor signaling pathway involved in heart process"
"44358","Biological Process","GO:1905283","negative regulation of epidermal growth factor receptor signaling pathway involved in heart process"
"44359","Biological Process","GO:1905284","positive regulation of epidermal growth factor receptor signaling pathway involved in heart process"
"44360","Biological Process","GO:1905285","fibrous ring of heart morphogenesis"
"44361","Cellular Component","GO:1905286","serine-type peptidase complex"
"44362","Biological Process","GO:1905287","positive regulation of G2/M transition of mitotic cell cycle involved in cellular response to nitrogen starvation"
"44363","Biological Process","GO:1905288","vascular associated smooth muscle cell apoptotic process"
"44364","Biological Process","GO:1905289","regulation of CAMKK-AMPK signaling cascade"
"44365","Biological Process","GO:1905290","negative regulation of CAMKK-AMPK signaling cascade"
"44366","Biological Process","GO:1905291","positive regulation of CAMKK-AMPK signaling cascade"
"44367","Biological Process","GO:1905292","regulation of neural crest cell differentiation"
"44368","Biological Process","GO:1905293","negative regulation of neural crest cell differentiation"
"44369","Biological Process","GO:1905294","positive regulation of neural crest cell differentiation"
"44370","Biological Process","GO:1905295","regulation of neural crest cell fate specification"
"44371","Biological Process","GO:1905296","negative regulation of neural crest cell fate specification"
"44372","Biological Process","GO:1905297","positive regulation of neural crest cell fate specification"
"44373","Biological Process","GO:1905298","regulation of intestinal epithelial cell development"
"44374","Biological Process","GO:1905299","negative regulation of intestinal epithelial cell development"
"44375","Biological Process","GO:1905300","positive regulation of intestinal epithelial cell development"
"44376","Biological Process","GO:1905301","regulation of macropinocytosis"
"44377","Biological Process","GO:1905302","negative regulation of macropinocytosis"
"44378","Biological Process","GO:1905303","positive regulation of macropinocytosis"
"44379","Biological Process","GO:1905304","regulation of cardiac myofibril assembly"
"44380","Biological Process","GO:1905305","negative regulation of cardiac myofibril assembly"
"44381","Biological Process","GO:1905306","positive regulation of cardiac myofibril assembly"
"44382","Biological Process","GO:1905307","response to miconazole"
"44383","Biological Process","GO:1905308","cellular response to miconazole"
"44384","Biological Process","GO:1905309","positive regulation of cohesin loading"
"44385","Biological Process","GO:1905310","regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis"
"44386","Biological Process","GO:1905311","negative regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis"
"44387","Biological Process","GO:1905312","positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis"
"44388","Biological Process","GO:1905313","transforming growth factor beta receptor signaling pathway involved in heart development"
"44389","Biological Process","GO:1905314","semi-lunar valve development"
"44390","Biological Process","GO:1905315","cell proliferation involved in endocardial cushion morphogenesis"
"44391","Biological Process","GO:1905316","superior endocardial cushion morphogenesis"
"44392","Biological Process","GO:1905317","inferior endocardial cushion morphogenesis"
"44393","Biological Process","GO:1905318","meiosis I spindle assembly checkpoint signaling"
"44394","Biological Process","GO:1905319","mesenchymal stem cell migration"
"44395","Biological Process","GO:1905320","regulation of mesenchymal stem cell migration"
"44396","Biological Process","GO:1905321","negative regulation of mesenchymal stem cell migration"
"44397","Biological Process","GO:1905322","positive regulation of mesenchymal stem cell migration"
"44398","Biological Process","GO:1905323","telomerase holoenzyme complex assembly"
"44399","Biological Process","GO:1905324","telomere-telomerase complex assembly"
"44400","Biological Process","GO:1905325","regulation of meiosis I spindle assembly checkpoint"
"44401","Biological Process","GO:1905326","positive regulation of meiosis I spindle assembly checkpoint"
"44402","Biological Process","GO:1905327","tracheoesophageal septum formation"
"44403","Biological Process","GO:1905328","plant septum development"
"44404","Biological Process","GO:1905329","sphingoid long-chain base transport"
"44405","Biological Process","GO:1905330","regulation of morphogenesis of an epithelium"
"44406","Biological Process","GO:1905331","negative regulation of morphogenesis of an epithelium"
"44407","Biological Process","GO:1905332","positive regulation of morphogenesis of an epithelium"
"44408","Biological Process","GO:1905333","regulation of gastric motility"
"44409","Molecular Function","GO:1905334","Swi5-Sfr1 complex binding"
"44410","Biological Process","GO:1905335","regulation of aggrephagy"
"44411","Biological Process","GO:1905336","negative regulation of aggrephagy"
"44412","Biological Process","GO:1905337","positive regulation of aggrephagy"
"44413","Biological Process","GO:1905338","negative regulation of cohesin unloading"
"44414","Biological Process","GO:1905339","positive regulation of cohesin unloading"
"44415","Biological Process","GO:1905340","regulation of protein localization to kinetochore"
"44416","Biological Process","GO:1905341","negative regulation of protein localization to kinetochore"
"44417","Biological Process","GO:1905342","positive regulation of protein localization to kinetochore"
"44418","Biological Process","GO:1905343","regulation of cohesin unloading"
"44419","Biological Process","GO:1905344","prostaglandin catabolic process"
"44420","Biological Process","GO:1905345","protein localization to cleavage furrow"
"44421","Biological Process","GO:1905346","protein localization to cleavage furrow rim"
"44422","Cellular Component","GO:1905347","endodeoxyribonuclease complex"
"44423","Cellular Component","GO:1905348","endonuclease complex"
"44424","Biological Process","GO:1905349","ciliary transition zone assembly"
"44425","Biological Process","GO:1905350","Y-shaped link assembly"
"44426","Biological Process","GO:1905351","pericyte cell migration"
"44427","Biological Process","GO:1905352","ciliary necklace assembly"
"44428","Biological Process","GO:1905353","ciliary transition fiber assembly"
"44429","Cellular Component","GO:1905354","exoribonuclease complex"
"44430","Biological Process","GO:1905355","spine apparatus assembly"
"44431","Biological Process","GO:1905356","regulation of snRNA pseudouridine synthesis"
"44432","Biological Process","GO:1905357","negative regulation of snRNA pseudouridine synthesis"
"44433","Biological Process","GO:1905358","positive regulation of snRNA pseudouridine synthesis"
"44434","Biological Process","GO:1905359","protein localization to meiotic spindle"
"44435","Cellular Component","GO:1905360","GTPase complex"
"44436","Biological Process","GO:1905362","negative regulation of endosomal vesicle fusion"
"44437","Biological Process","GO:1905363","positive regulation of endosomal vesicle fusion"
"44438","Biological Process","GO:1905364","regulation of endosomal vesicle fusion"
"44439","Biological Process","GO:1905365","regulation of intralumenal vesicle formation"
"44440","Biological Process","GO:1905366","negative regulation of intralumenal vesicle formation"
"44441","Biological Process","GO:1905367","positive regulation of intralumenal vesicle formation"
"44442","Cellular Component","GO:1905368","peptidase complex"
"44443","Cellular Component","GO:1905369","endopeptidase complex"
"44444","Cellular Component","GO:1905370","serine-type endopeptidase complex"
"44445","Biological Process","GO:1905371","ceramide phosphoethanolamine metabolic process"
"44446","Biological Process","GO:1905372","ceramide phosphoethanolamine catabolic process"
"44447","Biological Process","GO:1905373","ceramide phosphoethanolamine biosynthetic process"
"44448","Biological Process","GO:1905374","response to homocysteine"
"44449","Biological Process","GO:1905375","cellular response to homocysteine"
"44450","Biological Process","GO:1905376","negative regulation of cytochrome-c oxidase activity"
"44451","Biological Process","GO:1905377","response to D-galactose"
"44452","Biological Process","GO:1905378","cellular response to D-galactose"
"44453","Cellular Component","GO:1905379","beta-N-acetylhexosaminidase complex"
"44454","Biological Process","GO:1905380","regulation of snRNA transcription by RNA polymerase II"
"44455","Biological Process","GO:1905381","negative regulation of snRNA transcription by RNA polymerase II"
"44456","Biological Process","GO:1905382","positive regulation of snRNA transcription by RNA polymerase II"
"44457","Biological Process","GO:1905383","protein localization to presynapse"
"44458","Biological Process","GO:1905384","regulation of protein localization to presynapse"
"44459","Biological Process","GO:1905385","negative regulation of protein localization to presynapse"
"44460","Biological Process","GO:1905386","positive regulation of protein localization to presynapse"
"44461","Biological Process","GO:1905387","response to beta-carotene"
"44462","Biological Process","GO:1905388","cellular response to beta-carotene"
"44463","Biological Process","GO:1905389","response to leukotriene B4"
"44464","Biological Process","GO:1905390","cellular response to leukotriene B4"
"44465","Biological Process","GO:1905391","regulation of protein localization to cell division site involved in cell separation after cytokinesis"
"44466","Biological Process","GO:1905392","plant organ morphogenesis"
"44467","Biological Process","GO:1905393","plant organ formation"
"44468","Molecular Function","GO:1905394","retromer complex binding"
"44469","Biological Process","GO:1905395","response to flavonoid"
"44470","Biological Process","GO:1905396","cellular response to flavonoid"
"44471","Biological Process","GO:1905397","activated CD8-positive, alpha-beta T cell apoptotic process"
"44472","Biological Process","GO:1905398","activated CD4-positive, alpha-beta T cell apoptotic process"
"44473","Biological Process","GO:1905399","regulation of activated CD4-positive, alpha-beta T cell apoptotic process"
"44474","Biological Process","GO:1905400","negative regulation of activated CD4-positive, alpha-beta T cell apoptotic process"
"44475","Biological Process","GO:1905401","positive regulation of activated CD4-positive, alpha-beta T cell apoptotic process"
"44476","Biological Process","GO:1905402","regulation of activated CD8-positive, alpha-beta T cell apoptotic process"
"44477","Biological Process","GO:1905403","negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process"
"44478","Biological Process","GO:1905404","positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process"
"44479","Biological Process","GO:1905405","regulation of mitotic cohesin loading"
"44480","Biological Process","GO:1905406","positive regulation of mitotic cohesin loading"
"44481","Biological Process","GO:1905407","regulation of creatine transmembrane transporter activity"
"44482","Biological Process","GO:1905408","negative regulation of creatine transmembrane transporter activity"
"44483","Biological Process","GO:1905409","positive regulation of creatine transmembrane transporter activity"
"44484","Biological Process","GO:1905410","regulation of mitotic cohesin unloading"
"44485","Biological Process","GO:1905411","positive regulation of mitotic cohesin unloading"
"44486","Biological Process","GO:1905412","negative regulation of mitotic cohesin loading"
"44487","Biological Process","GO:1905413","regulation of dense core granule exocytosis"
"44488","Biological Process","GO:1905414","negative regulation of dense core granule exocytosis"
"44489","Biological Process","GO:1905415","positive regulation of dense core granule exocytosis"
"44490","Biological Process","GO:1905416","regulation of amoeboid sperm motility"
"44491","Biological Process","GO:1905417","negative regulation of amoeboid sperm motility"
"44492","Biological Process","GO:1905418","positive regulation of amoeboid sperm motility"
"44493","Biological Process","GO:1905420","vascular associated smooth muscle cell differentiation involved in phenotypic switching"
"44494","Biological Process","GO:1905421","regulation of plant organ morphogenesis"
"44495","Biological Process","GO:1905422","negative regulation of plant organ morphogenesis"
"44496","Biological Process","GO:1905423","positive regulation of plant organ morphogenesis"
"44497","Biological Process","GO:1905424","regulation of Wnt-mediated midbrain dopaminergic neuron differentiation"
"44498","Biological Process","GO:1905425","negative regulation of Wnt-mediated midbrain dopaminergic neuron differentiation"
"44499","Biological Process","GO:1905426","positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation"
"44500","Biological Process","GO:1905427","intracellular signal transduction involved in positive regulation of cell growth"
"44501","Biological Process","GO:1905428","regulation of plant organ formation"
"44502","Biological Process","GO:1905429","response to glycine"
"44503","Biological Process","GO:1905430","cellular response to glycine"
"44504","Biological Process","GO:1905431","microcystin transport"
"44505","Biological Process","GO:1905432","regulation of retrograde trans-synaptic signaling by neuropeptide"
"44506","Biological Process","GO:1905433","negative regulation of retrograde trans-synaptic signaling by neuropeptide"
"44507","Biological Process","GO:1905434","positive regulation of retrograde trans-synaptic signaling by neuropeptide"
"44508","Biological Process","GO:1905435","regulation of histone H3-K4 trimethylation"
"44509","Biological Process","GO:1905436","negative regulation of histone H3-K4 trimethylation"
"44510","Biological Process","GO:1905437","positive regulation of histone H3-K4 trimethylation"
"44511","Biological Process","GO:1905438","non-canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation"
"44512","Biological Process","GO:1905439","response to chondroitin 6-sulfate"
"44513","Biological Process","GO:1905440","cellular response to chondroitin 6-sulfate"
"44514","Biological Process","GO:1905441","response to chondroitin 4-sulfate"
"44515","Biological Process","GO:1905442","cellular response to chondroitin 4-sulfate"
"44516","Biological Process","GO:1905443","regulation of clathrin coat assembly"
"44517","Biological Process","GO:1905444","negative regulation of clathrin coat assembly"
"44518","Biological Process","GO:1905445","positive regulation of clathrin coat assembly"
"44519","Biological Process","GO:1905446","regulation of mitochondrial ATP synthesis coupled electron transport"
"44520","Biological Process","GO:1905447","negative regulation of mitochondrial ATP synthesis coupled electron transport"
"44521","Biological Process","GO:1905448","positive regulation of mitochondrial ATP synthesis coupled electron transport"
"44522","Biological Process","GO:1905449","regulation of Fc-gamma receptor signaling pathway involved in phagocytosis"
"44523","Biological Process","GO:1905450","negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis"
"44524","Biological Process","GO:1905451","positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis"
"44525","Biological Process","GO:1905452","obsolete canonical Wnt signaling pathway involved in regulation of stem cell proliferation"
"44526","Biological Process","GO:1905453","regulation of myeloid progenitor cell differentiation"
"44527","Biological Process","GO:1905454","negative regulation of myeloid progenitor cell differentiation"
"44528","Biological Process","GO:1905455","positive regulation of myeloid progenitor cell differentiation"
"44529","Biological Process","GO:1905456","regulation of lymphoid progenitor cell differentiation"
"44530","Biological Process","GO:1905457","negative regulation of lymphoid progenitor cell differentiation"
"44531","Biological Process","GO:1905458","positive regulation of lymphoid progenitor cell differentiation"
"44532","Biological Process","GO:1905459","regulation of vascular associated smooth muscle cell apoptotic process"
"44533","Biological Process","GO:1905460","negative regulation of vascular associated smooth muscle cell apoptotic process"
"44534","Biological Process","GO:1905461","positive regulation of vascular associated smooth muscle cell apoptotic process"
"44535","Biological Process","GO:1905462","regulation of DNA duplex unwinding"
"44536","Biological Process","GO:1905463","negative regulation of DNA duplex unwinding"
"44537","Biological Process","GO:1905464","positive regulation of DNA duplex unwinding"
"44538","Biological Process","GO:1905465","regulation of G-quadruplex DNA unwinding"
"44539","Biological Process","GO:1905466","negative regulation of G-quadruplex DNA unwinding"
"44540","Biological Process","GO:1905467","positive regulation of G-quadruplex DNA unwinding"
"44541","Biological Process","GO:1905468","regulation of clathrin-coated pit assembly"
"44542","Biological Process","GO:1905469","negative regulation of clathrin-coated pit assembly"
"44543","Biological Process","GO:1905470","positive regulation of clathrin-coated pit assembly"
"44544","Biological Process","GO:1905471","regulation of histone H3-K79 dimethylation"
"44545","Biological Process","GO:1905472","negative regulation of histone H3-K79 dimethylation"
"44546","Biological Process","GO:1905473","positive regulation of histone H3-K79 dimethylation"
"44547","Biological Process","GO:1905474","canonical Wnt signaling pathway involved in stem cell proliferation"
"44548","Biological Process","GO:1905475","regulation of protein localization to membrane"
"44549","Biological Process","GO:1905476","negative regulation of protein localization to membrane"
"44550","Biological Process","GO:1905477","positive regulation of protein localization to membrane"
"44551","Biological Process","GO:1905478","regulation of glutamate-ammonia ligase activity"
"44552","Biological Process","GO:1905479","negative regulation of glutamate-ammonia ligase activity"
"44553","Biological Process","GO:1905480","positive regulation of glutamate-ammonia ligase activity"
"44554","Biological Process","GO:1905481","obsolete cytoplasmic sequestering of protein involved in mitotic DNA replication checkpoint"
"44555","Biological Process","GO:1905482","obsolete cytoplasmic sequestering of protein involved in G2 DNA damage checkpoint"
"44556","Biological Process","GO:1905483","regulation of motor neuron migration"
"44557","Biological Process","GO:1905484","negative regulation of motor neuron migration"
"44558","Biological Process","GO:1905485","positive regulation of motor neuron migration"
"44559","Biological Process","GO:1905486","regulation of anterior/posterior axon guidance"
"44560","Biological Process","GO:1905487","negative regulation of anterior/posterior axon guidance"
"44561","Biological Process","GO:1905488","positive regulation of anterior/posterior axon guidance"
"44562","Biological Process","GO:1905489","regulation of sensory neuron axon guidance"
"44563","Biological Process","GO:1905490","negative regulation of sensory neuron axon guidance"
"44564","Biological Process","GO:1905491","positive regulation of sensory neuron axon guidance"
"44565","Biological Process","GO:1905492","positive regulation of branching morphogenesis of a nerve"
"44566","Biological Process","GO:1905493","regulation of G-quadruplex DNA binding"
"44567","Biological Process","GO:1905494","negative regulation of G-quadruplex DNA binding"
"44568","Biological Process","GO:1905495","positive regulation of G-quadruplex DNA binding"
"44569","Biological Process","GO:1905496","regulation of triplex DNA binding"
"44570","Biological Process","GO:1905497","negative regulation of triplex DNA binding"
"44571","Biological Process","GO:1905498","positive regulation of triplex DNA binding"
"44572","Biological Process","GO:1905499","trichome papilla formation"
"44573","Biological Process","GO:1905500","obsolete heteroreceptor complex assembly"
"44574","Biological Process","GO:1905501","obsolete heteroreceptor complex disassembly"
"44575","Molecular Function","GO:1905502","acetyl-CoA binding"
"44576","Biological Process","GO:1905503","regulation of motile cilium assembly"
"44577","Biological Process","GO:1905504","negative regulation of motile cilium assembly"
"44578","Biological Process","GO:1905505","positive regulation of motile cilium assembly"
"44579","Cellular Component","GO:1905506","gerontoplast stroma"
"44580","Biological Process","GO:1905507","obsolete cytoplasmic sequestering of protein involved in mitotic G2 DNA damage checkpoint"
"44581","Biological Process","GO:1905508","protein localization to microtubule organizing center"
"44582","Biological Process","GO:1905509","protein localization to interphase microtubule organizing center"
"44583","Biological Process","GO:1905510","negative regulation of myosin II filament assembly"
"44584","Biological Process","GO:1905511","positive regulation of myosin II filament assembly"
"44585","Biological Process","GO:1905512","regulation of short-term synaptic potentiation"
"44586","Biological Process","GO:1905513","negative regulation of short-term synaptic potentiation"
"44587","Biological Process","GO:1905514","positive regulation of short-term synaptic potentiation"
"44588","Biological Process","GO:1905515","non-motile cilium assembly"
"44589","Biological Process","GO:1905516","positive regulation of fertilization"
"44590","Biological Process","GO:1905517","macrophage migration"
"44591","Biological Process","GO:1905518","regulation of presynaptic active zone assembly"
"44592","Biological Process","GO:1905519","negative regulation of presynaptic active zone assembly"
"44593","Biological Process","GO:1905520","positive regulation of presynaptic active zone assembly"
"44594","Biological Process","GO:1905521","regulation of macrophage migration"
"44595","Biological Process","GO:1905522","negative regulation of macrophage migration"
"44596","Biological Process","GO:1905523","positive regulation of macrophage migration"
"44597","Biological Process","GO:1905524","negative regulation of protein autoubiquitination"
"44598","Biological Process","GO:1905525","obsolete regulation of ferrichrome biosynthetic process by negative regulation of transcription from RNA polymerase II promoter in response to iron"
"44599","Biological Process","GO:1905526","regulation of Golgi lumen acidification"
"44600","Biological Process","GO:1905527","negative regulation of Golgi lumen acidification"
"44601","Biological Process","GO:1905528","positive regulation of Golgi lumen acidification"
"44602","Biological Process","GO:1905529","regulation of uracil import across plasma membrane"
"44603","Biological Process","GO:1905530","negative regulation of uracil import across plasma membrane"
"44604","Biological Process","GO:1905531","positive regulation of uracil import across plasma membrane"
"44605","Biological Process","GO:1905532","regulation of leucine import across plasma membrane"
"44606","Biological Process","GO:1905533","negative regulation of leucine import across plasma membrane"
"44607","Biological Process","GO:1905534","positive regulation of leucine import across plasma membrane"
"44608","Biological Process","GO:1905535","regulation of eukaryotic translation initiation factor 4F complex assembly"
"44609","Biological Process","GO:1905536","negative regulation of eukaryotic translation initiation factor 4F complex assembly"
"44610","Biological Process","GO:1905537","positive regulation of eukaryotic translation initiation factor 4F complex assembly"
"44611","Molecular Function","GO:1905538","polysome binding"
"44612","Biological Process","GO:1905539","regulation of postsynapse to nucleus signaling pathway"
"44613","Cellular Component","GO:1905540","interleukin-7 receptor complex"
"44614","Biological Process","GO:1905541","regulation of L-arginine import across plasma membrane"
"44615","Biological Process","GO:1905542","negative regulation of L-arginine import across plasma membrane"
"44616","Cellular Component","GO:1905543","interleukin-15 receptor complex"
"44617","Biological Process","GO:1905544","L-methionine import across plasma membrane"
"44618","Biological Process","GO:1905545","obsolete negative regulation of regulation of ferrichrome biosynthetic process by negative regulation of transcription from RNA polymerase II promoter in response to iron"
"44619","Biological Process","GO:1905546","cellular response to phenylpropanoid"
"44620","Biological Process","GO:1905547","obsolete regulation of subtelomeric heterochromatin assembly"
"44621","Biological Process","GO:1905548","obsolete negative regulation of subtelomeric heterochromatin assembly"
"44622","Biological Process","GO:1905549","obsolete positive regulation of subtelomeric heterochromatin assembly"
"44623","Biological Process","GO:1905550","regulation of protein localization to endoplasmic reticulum"
"44624","Biological Process","GO:1905551","negative regulation of protein localization to endoplasmic reticulum"
"44625","Biological Process","GO:1905552","positive regulation of protein localization to endoplasmic reticulum"
"44626","Biological Process","GO:1905553","regulation of blood vessel branching"
"44627","Biological Process","GO:1905554","negative regulation of vessel branching"
"44628","Biological Process","GO:1905555","positive regulation of blood vessel branching"
"44629","Biological Process","GO:1905556","ciliary vesicle assembly"
"44630","Biological Process","GO:1905557","regulation of mitotic nuclear envelope disassembly"
"44631","Biological Process","GO:1905558","negative regulation of mitotic nuclear envelope disassembly"
"44632","Biological Process","GO:1905559","positive regulation of mitotic nuclear envelope disassembly"
"44633","Biological Process","GO:1905560","negative regulation of kinetochore assembly"
"44634","Biological Process","GO:1905561","positive regulation of kinetochore assembly"
"44635","Biological Process","GO:1905562","regulation of vascular endothelial cell proliferation"
"44636","Biological Process","GO:1905563","negative regulation of vascular endothelial cell proliferation"
"44637","Biological Process","GO:1905564","positive regulation of vascular endothelial cell proliferation"
"44638","Biological Process","GO:1905565","obsolete regulation of receptor-mediated endocytosis of low-density lipoprotein particle involved in cholesterol transport"
"44639","Biological Process","GO:1905566","obsolete negative regulation of receptor-mediated endocytosis of low-density lipoprotein particle involved in cholesterol transport"
"44640","Biological Process","GO:1905567","obsolete positive regulation of receptor-mediated endocytosis of low-density lipoprotein particle involved in cholesterol transport"
"44641","Biological Process","GO:1905568","regulation of ferrichrome biosynthetic process"
"44642","Biological Process","GO:1905569","negative regulation of ferrichrome biosynthetic process"
"44643","Biological Process","GO:1905570","positive regulation of ferrichrome biosynthetic process"
"44644","Cellular Component","GO:1905571","interleukin-10 receptor complex"
"44645","Biological Process","GO:1905572","ganglioside GM1 transport to membrane"
"44646","Molecular Function","GO:1905573","ganglioside GM1 binding"
"44647","Molecular Function","GO:1905574","ganglioside GM2 binding"
"44648","Molecular Function","GO:1905575","ganglioside GM3 binding"
"44649","Molecular Function","GO:1905576","ganglioside GT1b binding"
"44650","Molecular Function","GO:1905577","ganglioside GP1c binding"
"44651","Biological Process","GO:1905578","regulation of ERBB3 signaling pathway"
"44652","Biological Process","GO:1905579","negative regulation of ERBB3 signaling pathway"
"44653","Biological Process","GO:1905580","positive regulation of ERBB3 signaling pathway"
"44654","Biological Process","GO:1905581","positive regulation of low-density lipoprotein particle clearance"
"44655","Biological Process","GO:1905582","response to mannose"
"44656","Biological Process","GO:1905583","cellular response to mannose"
"44657","Biological Process","GO:1905584","outer hair cell apoptotic process"
"44658","Biological Process","GO:1905585","regulation of outer hair cell apoptotic process"
"44659","Biological Process","GO:1905586","negative regulation of outer hair cell apoptotic process"
"44660","Biological Process","GO:1905587","positive regulation of outer hair cell apoptotic process"
"44661","Biological Process","GO:1905588","plant-type cell wall modification involved in stomatal movement"
"44662","Biological Process","GO:1905589","positive regulation of L-arginine import across plasma membrane"
"44663","Biological Process","GO:1905590","fibronectin fibril organization"
"44664","Biological Process","GO:1905591","regulation of optical nerve axon regeneration"
"44665","Biological Process","GO:1905592","negative regulation of optical nerve axon regeneration"
"44666","Biological Process","GO:1905593","positive regulation of optical nerve axon regeneration"
"44667","Molecular Function","GO:1905594","resveratrol binding"
"44668","Biological Process","GO:1905595","regulation of low-density lipoprotein particle receptor binding"
"44669","Biological Process","GO:1905596","negative regulation of low-density lipoprotein particle receptor binding"
"44670","Biological Process","GO:1905597","positive regulation of low-density lipoprotein particle receptor binding"
"44671","Biological Process","GO:1905598","negative regulation of low-density lipoprotein receptor activity"
"44672","Biological Process","GO:1905599","positive regulation of low-density lipoprotein receptor activity"
"44673","Biological Process","GO:1905600","regulation of receptor-mediated endocytosis involved in cholesterol transport"
"44674","Biological Process","GO:1905601","negative regulation of receptor-mediated endocytosis involved in cholesterol transport"
"44675","Biological Process","GO:1905602","positive regulation of receptor-mediated endocytosis involved in cholesterol transport"
"44676","Biological Process","GO:1905603","regulation of blood-brain barrier permeability"
"44677","Biological Process","GO:1905604","negative regulation of blood-brain barrier permeability"
"44678","Biological Process","GO:1905605","positive regulation of blood-brain barrier permeability"
"44679","Biological Process","GO:1905606","regulation of presynapse assembly"
"44680","Biological Process","GO:1905607","negative regulation of presynapse assembly"
"44681","Biological Process","GO:1905608","positive regulation of presynapse assembly"
"44682","Biological Process","GO:1905609","positive regulation of smooth muscle cell-matrix adhesion"
"44683","Biological Process","GO:1905610","regulation of mRNA cap binding"
"44684","Biological Process","GO:1905611","negative regulation of mRNA cap binding"
"44685","Biological Process","GO:1905612","positive regulation of mRNA cap binding"
"44686","Biological Process","GO:1905613","regulation of developmental vegetative growth"
"44687","Biological Process","GO:1905614","negative regulation of developmental vegetative growth"
"44688","Biological Process","GO:1905615","positive regulation of developmental vegetative growth"
"44689","Biological Process","GO:1905616","regulation of miRNA mediated inhibition of translation"
"44690","Biological Process","GO:1905617","negative regulation of miRNA mediated inhibition of translation"
"44691","Biological Process","GO:1905618","positive regulation of miRNA mediated inhibition of translation"
"44692","Biological Process","GO:1905619","regulation of alpha-(1->3)-fucosyltransferase activity"
"44693","Biological Process","GO:1905620","negative regulation of alpha-(1->3)-fucosyltransferase activity"
"44694","Biological Process","GO:1905621","positive regulation of alpha-(1->3)-fucosyltransferase activity"
"44695","Biological Process","GO:1905622","negative regulation of leaf development"
"44696","Biological Process","GO:1905623","positive regulation of leaf development"
"44697","Biological Process","GO:1905624","regulation of L-methionine import across plasma membrane"
"44698","Biological Process","GO:1905625","negative regulation of L-methionine import across plasma membrane"
"44699","Biological Process","GO:1905626","positive regulation of L-methionine import across plasma membrane"
"44700","Biological Process","GO:1905627","regulation of serotonin biosynthetic process"
"44701","Biological Process","GO:1905628","negative regulation of serotonin biosynthetic process"
"44702","Biological Process","GO:1905629","positive regulation of serotonin biosynthetic process"
"44703","Biological Process","GO:1905630","response to glyceraldehyde"
"44704","Biological Process","GO:1905631","cellular response to glyceraldehyde"
"44705","Biological Process","GO:1905632","protein localization to euchromatin"
"44706","Biological Process","GO:1905633","establishment of protein localization to euchromatin"
"44707","Biological Process","GO:1905634","regulation of protein localization to chromatin"
"44708","Biological Process","GO:1905635","FACT complex assembly"
"44709","Biological Process","GO:1905636","positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding"
"44710","Biological Process","GO:1905637","regulation of mitochondrial mRNA catabolic process"
"44711","Biological Process","GO:1905638","negative regulation of mitochondrial mRNA catabolic process"
"44712","Biological Process","GO:1905639","positive regulation of mitochondrial mRNA catabolic process"
"44713","Biological Process","GO:1905640","response to acetaldehyde"
"44714","Biological Process","GO:1905641","cellular response to acetaldehyde"
"44715","Biological Process","GO:1905642","negative regulation of DNA methylation"
"44716","Biological Process","GO:1905643","positive regulation of DNA methylation"
"44717","Biological Process","GO:1905644","regulation of FACT complex assembly"
"44718","Biological Process","GO:1905645","negative regulation of FACT complex assembly"
"44719","Biological Process","GO:1905646","positive regulation of FACT complex assembly"
"44720","Biological Process","GO:1905647","proline import across plasma membrane"
"44721","Biological Process","GO:1905648","regulation of shell calcification"
"44722","Biological Process","GO:1905649","negative regulation of shell calcification"
"44723","Biological Process","GO:1905650","positive regulation of shell calcification"
"44724","Biological Process","GO:1905651","regulation of artery morphogenesis"
"44725","Biological Process","GO:1905652","negative regulation of artery morphogenesis"
"44726","Biological Process","GO:1905653","positive regulation of artery morphogenesis"
"44727","Biological Process","GO:1905654","regulation of artery smooth muscle contraction"
"44728","Biological Process","GO:1905655","negative regulation of artery smooth muscle contraction"
"44729","Biological Process","GO:1905656","positive regulation of artery smooth muscle contraction"
"44730","Biological Process","GO:1905660","mitotic checkpoint complex assembly"
"44731","Biological Process","GO:1905661","regulation of telomerase RNA reverse transcriptase activity"
"44732","Biological Process","GO:1905662","negative regulation of telomerase RNA reverse transcriptase activity"
"44733","Biological Process","GO:1905663","positive regulation of telomerase RNA reverse transcriptase activity"
"44734","Biological Process","GO:1905664","regulation of calcium ion import across plasma membrane"
"44735","Biological Process","GO:1905665","positive regulation of calcium ion import across plasma membrane"
"44736","Biological Process","GO:1905666","regulation of protein localization to endosome"
"44737","Biological Process","GO:1905667","negative regulation of protein localization to endosome"
"44738","Biological Process","GO:1905668","positive regulation of protein localization to endosome"
"44739","Biological Process","GO:1905669","TORC1 complex assembly"
"44740","Biological Process","GO:1905670","TORC2 complex disassembly"
"44741","Biological Process","GO:1905671","regulation of lysosome organization"
"44742","Biological Process","GO:1905672","negative regulation of lysosome organization"
